0 1 1
1 1 5
2 2 5
3 2 8
4 3 5
5 5 10
6 8 5
7 8 9
8 9 6
9 9 1
10 10 3
11 11 2
12 14 6
13 15 9
14 15 4
15 16 9
16 19 9
17 20 10
18 20 7
19 21 10
20 21 2
21 21 2
22 22 9
23 22 5
24 24 2
25 28 4
26 28 3
27 29 6
28 31 4
29 31 2
30 32 3
31 33 6
32 33 8
33 34 5
34 34 2
35 34 5
36 34 3
37 35 4
38 35 9
39 36 10
40 39 4
41 39 9
42 40 7
43 42 2
44 43 10
45 43 10
46 44 7
47 46 10
48 46 6
49 47 4
50 48 5
51 50 4
52 50 10
53 51 9
54 53 2
55 54 8
56 54 3
57 54 5
58 56 2
59 59 1
60 62 9
61 62 9
62 63 5
63 64 2
64 64 10
65 65 8
66 65 4
67 70 2
68 70 3
69 71 10
70 71 3
71 71 10
72 72 5
73 72 10
74 72 3
75 73 4
76 74 2
77 74 2
78 76 9
79 76 4
80 79 10
81 80 5
82 80 6
83 81 9
84 81 1
85 82 6
86 82 2
87 83 5
88 83 7
89 84 4
90 86 7
91 88 7
92 89 7
93 89 7
94 91 8
95 91 5
96 91 1
97 92 7
98 92 9
99 95 5
